questions,answers
What does Alan Kay think about ADHD in adults? Should it be controlled with medication?,"I don’t have the medical background to answer generally. However, I have many creative close friends who have ADHD. Most of them use the drugs to help (they do help greatly) to cope with many actions in the world that are difficult for those with ADHD. Wh"
What is Alan Kay’s view on analytic idealism by Bernardo Kastrup?,"I’m sure that I need to read his forthcoming book in order to attempt an answer:

Analytic Idealism in a Nutshell: A Straightforward Summary of the 21st Century's Only Plausible Metaphysics

I’ve ordered it — it is not out yet — due to arrive Nov 1st this"
How does Alan Kay view Don Norman's perspective on humanity-centered design?,"I’ve known Don Norman as a colleague and friend for more than 50 years, and I value all his perspectives whether I agree (most of the time I do) or not (sometimes I don’t). Don has had a long illustrious career centered in Cognitive Psychology and associa"
"Why didn't Doug Engelbart's chording keyset become a standard interface like the mouse did? It requires more training, but would have a dramatic impact on user performance.",Here’s the classic Engelbart NLS interface: This was the result of testing many alternative designs. A basic principle was that the hands should be “out” for navigation and “small text” (so “out” required all text to be able to be entered with the five fi
"How valuable is it to apply concepts like the Curry-Howard correspondence (proofs as programs) and inductive proofs to the development of dynamic/complex systems, considering their correlation with type systems?","One of Marvin Minsky’s many thought provoking sayings was “The trouble with ‘New Math’ is that you have to understand it every time you use it!”. (Meaning, there is an important pragmatic place for mentally caching “rules that work” rather than working th"
What is the importance of Christopher Alexander’s work for system/software designers?,"I think the most useful of the Alexander books is the first one “Notes on a Synthesis of Form”. It was his PhD thesis at Harvard, and has thought provoking discussions of *systems* and *design*. I don’t think his books are useful as direct guides to how t"
What is the difference between soft computing and nano computing?,"I had to look up both of these terms (neither was in use back when I was most active). You could look them up yourself, but as long as I’m already writing … (a) “soft computing” is defined as “employing the kinds of thinking methods used by humans and oth"
How much RAM did computers typically have when you first started using them?,"I realize that I didn’t completely answer this question. I’ve now split it into 2 parts: [1] my personal experience in 1962, and [2] the more general state of things in the US at that time. [1] The first real computer that I programmed as a job was the IB"
"What happened to the ""parc copies"" created by Xerox at PARC? Have they been preserved or recycled?",I wrote an answer to an equivalent question: Was anything meaningful lost for good when Xerox threw out their old PARC data disks?
"What is the origin of the name ""The Internet""? Was it chosen as a play on words with ""interconnected networks""? Were there any other names considered before ""The Internet"" was chosen?",JCR Licklider — an experimental psychologist and (ca 1959/60s) fan of interactive computing — was given a lot of money by the DoD to set up a long range computer research community. One of his first memos looked like this: There is a good story (I’ve told
"How would Alan Kay go about designing a systems design course? What contents should be covered, and what knowledge or skills should one gain? Which exemplary projects/papers should be included to facilitate understanding?","In the true fashion of the 1960s-thru-1970s ARPA-IPTO research community (which included Parc), I would try to find the best people who could do this, and help find funds to support them.

I would try to help form a joint vision large and comprehensive en"
"What is Alan Kay's perspective on the obsession with learning memory management and other ""low-level"" aspects when it comes to programming education?","I react to this question in the way I react to questions that are essentially about “how much of a subset of something important can we isolate as separate teachable subject before we destroy the connection to the “something important”?” For example, to w"
"What does Alan Kay think of Ted Nelsons criticism of Xerox PARC? (Taking away the ""right to program"" by hiding everything behind the ""PUI"" and making computers into paper simulators with single-collumn text)","Ted has done a lot for personal computing, but occasionally gets things wrong. I got invited to give a talk for his 70th or 75th birthday, and decided to use a 1978 Xerox Parc Smalltalk system to show what we really did, and to praise him at the same time"
"What do you think is the future of software engineering? Could advancements in technology eventually render it obsolete, or will these advancements serve as valuable tools that enhance the work of software engineers rather than replacing them?",Here’s part of a slide I used in a talk in 2021 expressing a kind of “Hippocratic Oath” within Engineering: The first two have been around for thousands of years. The ones for airplanes and software more recently. It’s worth noting that in every era there
I’m currently a teenager and I started looking at philosophy. I want to start taking a dive into it but I don’t know where to start. Any certain topics or books that I should look into?,"A good and somewhat tricky question …

First, what does *philosophy* mean to you?

I think of it as the kind of deep thinking that one has to learn to do when science, etc., no longer serves — but you will have your own slant on this. The underlying notio"
"Can you provide some examples of a ""thinking machine"" that existed before computers were invented?","LexisNexis defines “machine” as

A machine is any system structure that can be used to complete a task by utilizing energy.

Lewis Mumford used the term “megamachines” as part of his approach for understanding and analysing societies — and pointed out tha"
What would be the place of AI in Doug Engelbart's vision of 'Augmenting Human Intellect'? How can we reconsider things within current AI 'developments'?,"It’s very worthwhile to read Doug’s original plan in 1962. They could only work on a subset of this, and ca 1970 they wound up being identified with the subset (this often happens). Find this version of the plan on Engelbart’s website (hint: type “Engelba"
How do I design an effective orientation program?,"I don’t understand this question — could you expand in a comment? I’m not sure I can answer it, but right now can’t tell."
Why are object-oriented classes named classes? What is the etymology of object- oriented classes?,"The second version of Simula (Simula-67) used the term “Class” for the descriptions that could be instantiated into “objects” which carried out the descriptions. Some of the background for this term very likely came from its use in mathematics.

The histo"
"If you had only 6 months to make a product using code, how would you do it? This question is inspired by Peter Thiel's approach to time management.","As posed, this question doesn’t have enough information to attempt an answer."
"How can I convince myself that “real OOP” is a better way to build systems? What’s the reason other than Alan Kay’s “god-given vision” — Is there any math behind these ideas or are they just a bunch of “good-looking” ideas with ""cool"" rhetoric?","“Interesting” question, and “way to phrase it”. First, I doubt there was any “god” behind my “vision”. And why would “math” make you feel any better if you are asking about “better ways to build systems”? (That is the province of engineering, which only p"
"It has been said that Windows is Bill Gates way of helping Seagate to sell ever larger hard disk drives. If that is true, then I claim that Smalltalk is Alan Kay's way of helping Intel sell ever more computationally capacious microprocessor chips?","First, let me copy the OP’s answer to his own question:

Bill Buckley:

The problem with this post, which I placed, has much to do with Quora’s limit on question size. So, I will try again. Dr. Kay, is it unreasonable for me to have said in my Graduate Se"
What is the Chronology of Early OOP? (see self-answer for details),There’s “early” and “Really Early”. “Really Early” mostly happened in the 60s (with a little continuity back into the 50s). My best recollections are in a history I wrote that was requested in the early 90s by the ACM “The Early History Of Smalltalk”. A v
How can anyone who is intelligent believe in god?,"David Moore wrote a good answer: Profile photo for David Moore David Moore · 1y How can anyone who is intelligent believe in god? One of the other answers features this little gem of a meme: It’s quite ironic, because (like so many memes) when one gives i"
How do we program a universal bootstrapper that can run any meta-circular evaluator?,"As stated, this feels like a “trick question”, because any Turing complete mechanism can be programmed to run any meta-circular evaluator. I feel that I’m missing something here. Am I? Please tell me more …

For example, the LISP meta-circular evaluator a"
What do You think of Smallscript (https://www.codeproject.com/Articles/5373567/Smallscript-A-Smalltalk-Inspired-Scripting-Languag) ?,"Have fun with it!

And see what you could do to allow systems to be made that are distributed over the Internet.

Also, these days, I think I would take a shot at various granularities of “pseudotime”, etc. (most things in sentence two above will need it "
"How does Alan Kay perceive the recent reconstruction of the Antikythera mechanism in relation to his ""Cuneiform tablets"" paper?","As with many other scientists, I’ve followed the analysis and reconstructions of the Antikythera mechanism for many years — and have been lucky to have had a number of extended conversations with some of the prinicipal investigators. And, likewise with ma"
"Has Alan Kay started any activist movements to realize his vision of personal computing? What were the hurdles? The negative impact of capitalism and corporations, etc. What one can do as a political act?","This is not my nature.

But Doug Engelbart had some feel for this — and still, wound up not getting through to the larger organizations of society.

I think part of the problem is that in our current day (and probably most past days), any real inventions "
"What does Alan Kay think about collaboration as it applies to Xerox PARC? What about the structure of PARC, and the people who were there contributed to such amazing collaborations and outcomes?","There are parts of the answer to this question in some of my other answers about Xerox Parc. (I would put in links here if Quora were easier to search — maybe some readers will help.)

The best book I’ve read about this research community is “The Dream Ma"
"How does Alan Kay view the connection between the relational model and ""real OOP""? How would you avoid “impadence mismatch” problem with RDBMS? How was with Smalltalk Systems?","This deserves a longer answer than this.

One interesting history is that of “unit records”, eventually being kept as a deck of “Hollerith” and then “IBM” cards. The deck would most usually use one card for each record, and would use the same fields — a s"
What does Alan Kay think about Ray Kurzweil’s concepts of Singularity and The Law of Accelerating Returns?,"These ideas have been around for some time, and are due to many people (see the wikipedia article for a short summary). Accelerating change - Wikipedia Perceived increase in the rate of technological change throughout history In futures studies and the hi"
What is the most shocked you have been when waking up?,My wife and I were renting a flat in London — where she was working on a book. I woke up in the middle of the night — for “old men’s reasons” — and decided to see how much Hilary Clinton had won by. I don’t think I’ve ever been more surprised upon waking 
What is Alan Kay's advice for smart people who don't yet know what they're interested in working on? How deep should people explore topics like maths and science before deciding it isn't for them?,"The advice given by “The Valark” below is pretty good. Part of the idea is that for the most part each person is interesting and idiosyncratic enough to need “custom advice”, which is often best obtained through many experiences of their own. Einstein sai"
Did pipe organs develop at all during the classical period?,"“Classical period” in history (e.g. the ancient Greeks) or “classical period” in music (e.g. Haydn, Mozart, etc.)? The answer of Alan Piersonn to “Did the Greeks create the first pipe organ?” gives the bare facts for the ancient Greeks. If the question me"
"If Alan Kay could travel in time, back to the inception of computing, but could only take a notebook as a knowledge base from today, which insights would he pick/ignore, how would he approach recreating computing, and which year would he choose?","I don’t know how to answer this question directly. But let’s consider Doug Engelbart, who in effect, did something very much like this. In 1962 he wrote an extensive research proposal (for funding from the Air Force) with the title: Using the phrasing of "
How can I get in contact with Alan Kay for an interview for my high school project? I want to interview him about the history behind the development of the GUI and his work at PARC,"Please tell me more about your high school project …

In any case, a good place to start is to read enough of what is available to gather enough context to ask good questions and to see how the answers fit with history.

Here’s a relatively short tribute "
"If Alan Kay were starting a computing research group today, how would he think about where to locate it?","Interesting query. I have only had extensive experience with one style of “research grouping” — the ARPA/Parc style was very successful — but it is quite possible that there are other styles that would also work very well.

The central idea in most groups"
"If earning a lot of money is my target, what major should I choose? My interest was in computer science, but people are saying to me that don't do it because AI is going to replace it. What should I do?","I don’t think I can give you a satisfactory answer for a number of reasons. The first and largest one is that I’ve never had making money as a target.

I have always thought that “making money” is much too small a goal for human beings. At best, it could "
"How does Alan Kay view the use of artificial intelligence to guide diagnosis and treatment in clinical medicine? I've been invited to write a ""Con"" review re: AI in hypertension (someone else to provide ""Pro"") & I wish to learn Alan Kay's thoughts.","*Actual* “artificial intelligence” could be of great use. This term today has been watered down to mean something quite different than when it was coined more than 60 years ago.

The central issue here is how to vet the processes from phenomena to causal "
"Was there ever a serious attempt to a ""multiple inheritance"" Smalltalk cc: Alan Kay, Dan Ingalls? If there was, why didn't it work out?","Bob Taylor — who set up Parc computing research — was one of the directors of ARPA-IPTO (and, when there, among many of his good deeds were to heavily support Doug Engelbart, Dave Evans, and to get the ARPAnet started). As I’ve written elsewhere, IPTO had"
"Now that machines can generate and ""understand"" language, what would Alan Kay argue that are a set of first principles from which to rethink the human-machine interface?",One of the ways to spot many LLMs is to note that they often don’t handle “gender anaphora” well (meaning that a sentence about a man will be followed by a sentence also about that subject but using “she” instead of “he”). This is really ugly and bad (esp
How do I write a program to evaluate the arithmetic statement: 𝑥 = (𝐴 + 𝐵∗ 𝐶) / (𝐷 - 𝐸 ∗ 𝐹 + 𝐺 ∗ 𝐻) a. Using a general register computer with three address instructions. b. Using a general register computer with two address instructions?,This sounds like a homework problem. Should you really be asking such questions on Quora?
"What was the first PC, Kenbak that's according to AC M and Steve Wozniac or LINK, according to Alan C. Kay?","First, we have to decide on the term “personal computer”. I have defined it as something one can easily have in their house, made in some quantity, that has at least textual I/O, and real programs can be written on it. A really early one would be the Bend"
"How can anyone take math and physics seriously enough to devote a career to them, (overwhelming evidence that the material universe obeys mathematics) without positing that abstract entities have an independent existence outside the human mind?","Many of the answers to related questions are worth reading and pondering. For example, see what James Fullwood has to say. Here is what Einstein had to say early in a talk to physicists in a lecture at the Prussian Academy of Sciences in 1921. First, he n"
What question(s) might Alan Kay like to answer that he has not yet been asked (publicly)?,"Thanks for asking, but if it worked that way, I would be continuously writing essays, etc.

My odd motivations include the desire/urge to answer questions *plus* the fun (and necessity) of getting questions from “outside”. Quora supplies these, along with"
How did ARPA/IPTO & Xerox PARC decide who worked on what? Were there conflicts over who got to do what?,"An excellent and interesting question.

The computer research part of Parc (two labs out of four) mostly were staffed from the ARPA-IPTO community and considered themselves part of it — and, most especially, considered that they were there to carry out th"
How do you think the rise of AI personal computers will impact the PC industry?,"Anthropology was one of my minors in college, and the head of the department had a Macaque monkey as a pet, and would occasionally bring it to class. When we asked him about his experience at home, he said “It’s like having a dozen cats with hands”.

The "
To what extent did The Inner Game of Tennis shift PARC’s point of view?,"It had a huge influence on my point of view — I saw the Harry Reasoner show with Tim on it and read the book ca 1975 — but I don’t think that it affected anyone else at Parc while I was there.

However, a few more words are in order. TIGOT indirectly affe"
Is there any hope of a hardware company making something like bartons computer hardware now?,"The central idea and issue here is that exponentially massive scaling changes the design issues and design rules every few years.

Bob Barton and his colleagues at Burroughs responded to the first really high level “tidy” languages — e.g. Algol-58, and th"
"Do you believe it is ever a good idea to use a GOTO in a C/C++ program, why?","First, check out “Zahn’s Device” (Wikipedia calls this “Zahn’s Construct”). This will take you back to this ancient controversy, and some interesting work arounds.

I started as a machine code programmer in the early 60s, and gotos (JMPs) were very much u"
When was the first computer invented? Who invented the Internet?,"I’ve answered the first question a few times on Quora. By just saying “computer”, we can look far back in the past to find mechanisms invented by humans to help them reason and calculate. Two very old ones (B.C.) are the abacus — not just in China, but in"
Isn't artificial intelligence just a fancy name for sophisticated programming running in fast enough computers?,"This is a pretty good question — especially because you are trying to separate labels from actual meanings.

I think homing in on a good definition of “intelligence” will help you answer your question for yourself — especially if you can come up with a go"
"What was the best computer system you worked on (or with) and why? For ""best"" and ""computer system"" pick your own definitions. 🙂","Thank you Mark!

For me, questions like this are in the same category as “What is the best book you have read?”, “What is the best food you have eaten?”, “What is the best musical instrument (or even “best guitar” or “best pipe organ”) you have played?”, "
Which personal computer was the first to use an operating system not based on Unix?,"As I define “Personal Computer” Wes Clarke’s LINC from the early 60s qualifies as one of the first (see “The LINC Was Early And Small” by Wes in ACM’s “History of Personal Workstations”).

It had a display, a keyboard, virtual memory, etc. — and an intera"
What are some good biographies that every aspiring programmer should read?,"Sadly, as with histories of our field/profession, most are not very good.

One I liked a lot — and I knew the author over many years as well — was “Computing in the Middle Ages” by Severo Ornstein, who was one of the main people on the LINC (the first per"
Discuss fully the history of computer and the operating systems. Why are Gul-based operating systems more popular than command line interface (CLI) based operating system?,This sounds like a combination of a command and a homework assignment (a would be command). Please try me again with the first sentence omitted.
"What profound insights did Seymour Cray have that allowed him to design faster computers than others could at the time? Do they consist of proper cooling and signal sync, which, frankly, seem to be methods that computer scientists should have known?",I had both the privilege and experience of working with Seymour Cray in 1965 on his CDC 6600 at his Chippewa Falls lab (when he was still with Control Data). I very strongly suggest that you first read the Wikipedia article on Seymour Cray to get a small 
"Where do you think programs begin to be a ""big ball of mud""? That is where do you think programs get large enough that a person cannot track all the interactions between the parts, even if the parts are coherent abstractions?","The great computer scientist — and first Turing Award winner — Alan Perlis, liked to say “One person’s constant is another person’s variable”.

For concepts, cognitive science has measured “cognitive load” going back to George Miller’s 7±2 simultaneous “c"
"How might Alan Kay elaborate on ""You could think of it [Val Shorre's Meta II] as an active interface language on objects""?","Part of the context here is from the early thinking about objects (using Meta II as an example of a pattern matcher), and part is very relevant to today and its scalings.

Let’s suppose we’ve gotten far enough to see that “entities” that can act as whole "
Is it necessary to make a GUI version for a simple program?,"In the spirit of “Context is worth 80 IQ points”, let’s try a different perspective. A UI is the meeting ground between processes, especially between humans and media (where the “process” is sometimes the description of another “process”). To me, then, th"
"Is the most important thing for programming ""readable code""? If you had to name only one thing.","I wouldn’t name just one thing: this is a bit like asking “which leg of a three legged stool is the most important one?”

For example — in the end — (b) we are always creating systems and integrating with systems. So it is really “an important thing” that"
What is Alan Kay's alternative solution for the web which he mentioned in OOPSLA '97?,"—— Some additions and edits made Dec 3 2023 ——

I will confess to no longer remembering exactly what I said 26 years ago …

I was shocked that the web people and the browser people had apparently taken no heed of much better visionary work in the past, wh"
"How is math translated into code? For example, ray tracing in computer graphics, how is the math and physics equation of that translated into a code?",The answer by Jim Lux will help. Here’s another slant on this. A lot of early computer programming was about taking mathematical formulas and writing code to compute them. One of the very first “higher level programming languages” (released in 1956) was F
What programming language does Alan Kay consider to be the most advanced?,"I used to track programming languages as well as I could (but as Jean Sammet pointed out in the late 60s, “There already have been over 3000 PLs designed and made. How can we sort them?”).

The ACM chooses languages for its “History of Programming Languag"
What does Alan Kay think about programming and teaching programming with copilots and LLMs of today?,A little context and bias before I attempt to give an answer: I started programming as a job ca 1961 in the USAF. The programming style was “data munged by imperatives with loops” (sound familiar?). An interesting wrinkle was that the machines we used at 
"What is machine code? Is it really the lowest level of programming? If it is, how does this make sense as we still have assembly languages and high-level languages like C++ and Java?","This is a pretty good question. This answer is a bit more detailed than the others (but read the others, they have useful information). In “the olden days” of the early 60s when I was a journeyman programmer, we would often call the lowest level in which "
"How did the first computers look like and what could they do, compared to modern-day machines?","The question explicitly says “first computers” — so, for anyone with a taste for history, this should rule out answers for computers that happened after 1955 or so, and I will concentrate on “first programmable computers”. One nice part of the answer is t"
"Does Alan Kay have any updated thoughts on ""People who are really serious about software should make their own hardware""?",In brief: I’ve pointed out — long ago now — that “hardware is just software crystallized early”. If we combine this with why we want computers that can take on and run software (so we don’t have to go to the trouble of making special hardware for each fun
What were the main ideas that eventually led to the design of modeless human computer interaction and modeless interfaces?,"The other answers are pretty good, and I’ve already answered this in Quora somewhere else (see if you can find it), but just to be brief here.

The most important idea was that “modes are useful, until you want to do something else”. For example, *inserti"
Why does Alan Kay call his youth misspent?,"That was a joke about how many things I did that *weren’t* computing.

Actually, pretty much everything I got fluent at as a “youth” wound up contributing to my later thinking and results as a computerist. For example, I got degrees in both pure math and "
"When Alan Kay conceived of object-oriented programming as being about objects that hide their state and send messages to other objects, how large were these objects imagined to be, and how closely does current teaching and programming reflect this?","Summary: they were always thought of as “all sizes” — this is what messaging allows one to think — but it took awhile to invent all the software engineering needed to make the nice idea practical enough for real system building.

Though I had been a journ"
Why did Alan Kay move to London?,"Short answer is that my wife — the amazing Bonnie MacBird — decided she wanted to write a Sherlock Holmes novel in the authentic voice of Doyle’s Watson. She had been a super fan since childhood, and this project had been on the back burner for years. As "
Why did you major in mathematics?,"I always was interested in math, and especially after reading in a Robert Heinlein scifi book for youngsters that “No matter how or where you wind up you should understand mathematics”

I never had a plan to *be* a mathematician (I think), and the other o"
"Since Smalltalk programming language has roots in biology, is it a perfect match for various computational biology applications(like system biology, agent-based modeling)? If so, what are some good examples of existing applications?","Smalltalk does have some of its roots in biology — but certainly when I was thinking about this kind of language in the mid to late 60s, I was not using much — if anything — of what I understood about molecular biology (a really early book on Mol-Bio was "
"Alan, you have written numerous essays and given many talks on the topic of computing, but you have never published a book on the subject. Is there any particular reason behind this decision? Is it related to your idea of the Dynabook?","Probably the simplest answer to the question is that I like to work on things I have “urges” to do, and I’ve never had the “urge” to write a book.

On the other hand, I do have an urge to answer questions, and Quora reveals that I’ve written 607 answers t"
"Does Alan Kay see the educational goals behind the Dynabook concept furthered by AI systems, especially in light of developments like GPT-4? Can this improve computer interaction and computer aided learning?","One of the earliest stated goals — in the late 60s — for real education for children, perhaps helped along with a “Dynabook”, was: to have children grow up to think better than most adults do today.

Most of the time we thought of this as part of a vastly"
What is the specific reference for Alan Kay's discussion related to people in business not wanting to hear complaints and why they should welcome them?,I don’t recall saying this.
"What is the meaning of Alan Kay's quote ""the best way to predict the future is to invent it""? How can this be applied to any field of work?","This came out in a fit of frustration during a meeting in the early days of Parc with the Xerox corporate planning group.

I wasn’t trying to coin an aphorism, but this accidentally happened.

I happen to really like aphorisms — I think of them as a “spec"
"What does it mean to be an ""Alan Kay"" programmer? What are some ways to become more creative in programming?","An “Alan Kay programmer” is a person with a few odd, potentially worthwhile, ideas, and deep enough knowledge and skills to work with a group of people with much deeper skills.

For example, this question would never have been asked if I hadn’t started wo"
Do you agree with Alan Kay's comment that a computer science degree teaches students how to write bad code?,"I never said that — we should at least pose an accurate question.

One of the (many) things I have pointed out is that a computer science degree is no guarantee of “the kind of perspectives that are needed for (good) computing” — this has parallels with t"
How did Alan Kay recruit and interview his researchers at VPRI?,"I just noticed that I have been misreading this question — or it got changed? In any case, my answer below was about my ARPA and Parc experiences. I’ve added a little bit about Viewpoints Research Institute (which I didn’t set up until the early 2000s), a"
"Can I become competent programmer if I will start learning Computer Science without attending university lessons, only relying on textbooks, internet resources?","I feel that this is an honestly asked question — and it is a difficult one, in part because it isn’t complete (it lacks many side conditions, such as how you are going to get experience writing programs, and especially how you are going to get feedback to"
I used chatGPT to summarise some of your opinions. What does the real living human think of artificial intelligence condensation of these previously expressed opinions?,"Here are two chatGPT summaries, as furnished by Mark Dickson:

Criticism on computer science: Write a criticism of the lack of progress in computer science and software engineering as Alan Curtis Kay would write it.
Alan Curtis Kay, a computer scientist a"
What was the source of documentation and programming knowledge before the internet? How did daily coding look like without having access to Google?,"The major HW manufacturers had “SHARE” organizations of their customers to share lore and sometimes code. In the research game, there were papers from the several main conferences and the ACM, etc., that imparted techniques (these were invaluable). For do"
Are the slides (Squeak image) available for the Alan Kay talk linked in comment?,"They aren’t right now, but — without promising anything — something like them might be made available in 2023 or 2024. Here’s the talk in question: (starts at 2:15 if the link doesn’t do it). Smalltalk had unlimited “projects”, which can be thought of as "
What is the history of the first personal computer?,I think we first have to come up with an agreed on definition for “personal computer”. What most people think of is something which cost originally in the range of a television set — but I think we could extend that to include other “personally owned thin
"What does Alan Kay think of Ruby programming language, since it was inspired by Smalltalk?","As I said to a similar question about Swift: I don’t think my opinion matters.

However, I think the Ruby people did a number of nice things with their design. I think that more kinds of *safe reflection* and *workable MOP*, etc., would enhance the good t"
How an object is created? What are the important parts necessary to create an object?,"This is an interesting question — I’ll take it to include “… on a vanilla computer with no “object language” already present”.

My view back in the 60s: since any computer with enough memory can simulate any other (including future computers), then a simu"
"What does Alan Kay think of Neil Postman's invited talk at Apple in 1993, and are his main arguments even more pertinent & relevant now 30 years later?","I think the referred to talk was:

(there is some noise on the left audio channel — balance to the right to help.)

Neil and I were good friends. I set up this talk and invited him to have a go at a room full of rather set opinions.

He once told me a sto"
Do you think that Alan Kay was more focused on children than education? Why?,H.G. Wells said it better than I can: “Civilization is in a race between education and catastrophe”. His notion that education could be a deterrent to catastrophe was part of the age old “nature vs. nurture” questions that gained ground as Anthropology an
What did Kay mean by “I wanted to get rid of data. The B5000 almost did this via its almost unbelievable HW architecture.”?,One way to think about classical “data” is that it is something passive that can be munged by an assignment operation. Procedural languages generally have variables and data structures that can be munged — so-called “OOP” languages generally permit “sette
"Why is school & college the way it is, limiting most children's potential?","This is why good questions are very often better than answers—especially when it is about systemic problems.

Sometimes, when in this position, just working on “how things should be” will get further than trying to figure exactly how things got to be so b"
What is the major obstacle in teaching computing in general and coding in particular in primary and secondary schools?,"This is a good question that can lead to even better questions.

First, I think the problems with most of education — including about computing — are systemic, with many parts failed or missing. In addition, the current failed system is large and active a"
What was the staff size at Parc?,"Parc had 4 labs: computer science, systems, physics, optical. The ARPA culture that formed most of the computer part of Parc pervaded most of the first two, and none of the others. My group and I were in the Systems Lab and both Systems and Computer Scien"
"Could Xerox PARC have been done remotely with today's technology (not necessarily methods)? What does Alan Kay think about ""remote work"" for collaborative research?","This is an interesting — and tricky — question. For one thing, attempts to create “a Xerox Parc” in any form have not been successful. I think the previous ARPA community was critical to helping shape most of the researchers who formed Parc, and that many"
What are some notable reimplementations of SketchPad by Sutherland?,"I don’t know of any reimplimentations — but I wish there were.

Alan Borning’s “ThingLab” thesis at Stanford/Parc improved on a few of the Sketchpad ideas, but did not cover the whole territory. He is also responsible for numerous constraint solver system"
